Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Dominic Calvert-Lewin,9.0,eng ENG,FW,25-018,77,0,0,0,0,2,1,0,0,22,0,0,0,0.1,0.1,0.0,2,0,11,16,68.8,1,14,0,0,0,Everton
Anthony Gordon,24.0,eng ENG,RM,21-038,13,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0,Everton
Richarlison,7.0,br BRA,"LW,FW,LM",24-328,90,0,1,0,0,5,0,1,0,45,0,1,2,0.3,0.3,0.0,3,1,24,32,75.0,3,37,3,4,2,Everton
Demarai Gray,11.0,jm JAM,"RW,LM,RM",25-279,90,0,0,0,0,2,0,0,0,46,0,1,0,0.0,0.0,0.2,3,0,30,37,81.1,3,29,3,5,4,Everton
Alex Iwobi,17.0,ng NGA,"LM,CM",25-335,90,0,0,0,0,0,0,0,0,60,0,0,2,0.0,0.0,0.1,4,0,48,56,85.7,12,47,1,0,0,Everton
Mason Holgate,4.0,jm JAM,"CM,CB",25-163,90,1,0,0,0,3,1,1,0,54,3,1,1,0.2,0.2,0.0,0,0,31,43,72.1,4,26,1,1,0,Everton
Abdoulaye Doucouré,16.0,ml MLI,"RM,CM",29-092,90,0,0,0,0,0,0,0,0,60,1,1,1,0.0,0.0,0.0,4,0,42,50,84.0,2,34,3,0,0,Everton
Vitaliy Mykolenko,19.0,ua UKR,LB,22-309,90,0,0,0,0,1,0,0,0,54,2,1,0,0.0,0.0,0.0,1,1,36,46,78.3,4,20,0,0,0,Everton
Ben Godfrey,22.0,eng ENG,CB,24-078,90,0,0,0,0,0,0,0,0,58,1,0,1,0.0,0.0,0.0,2,0,43,49,87.8,3,40,0,0,0,Everton
Michael Keane,5.0,eng ENG,CB,29-082,64,0,0,0,0,0,0,2,1,51,2,3,3,0.0,0.0,0.0,1,0,31,38,81.6,1,31,0,0,0,Everton
Jonjoe Kenny,2.0,eng ENG,RB,25-019,90,0,0,0,0,0,0,0,0,45,0,2,0,0.0,0.0,0.2,4,0,30,41,73.2,3,26,2,1,0,Everton
Jordan Pickford,1.0,eng ENG,GK,28-027,90,0,0,0,0,0,0,0,0,46,0,0,1,0.0,0.0,0.0,0,0,30,42,71.4,0,27,0,0,0,Everton
12 Players,,,,,964,1,1,0,0,13,2,4,1,546,9,10,12,0.7,0.7,0.5,24,2,359,453,79.2,36,334,13,11,6,Everton
