Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Mark O'Mahony,55.0,ie IRL,FW,19-105,45,0,0,0,0,1,0,0,0,19,1,0,2,0.1,0.1,0.0,0,0,7,10,70.0,0,12,0,0,0,Brighton & Hove Albion
Danny Welbeck,18.0,eng ENG,FW,33-154,45,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,2,0,13,16,81.3,4,12,1,0,0,Brighton & Hove Albion
Simon Adingra,24.0,ci CIV,LW,22-118,65,0,0,0,0,1,0,0,0,37,4,0,4,0.1,0.1,0.0,0,0,15,23,65.2,1,25,6,2,1,Brighton & Hove Albion
Julio Enciso,10.0,py PAR,"LW,AM",20-096,25,0,0,0,0,2,0,0,0,21,1,0,0,0.2,0.2,0.1,1,0,16,18,88.9,4,17,0,1,1,Brighton & Hove Albion
Facundo Buonanotte,40.0,ar ARG,RW,19-127,90,0,0,0,0,2,1,0,0,39,3,0,0,0.3,0.3,0.0,2,0,24,30,80.0,2,29,3,4,2,Brighton & Hove Albion
João Pedro,9.0,br BRA,AM,22-215,87,0,0,0,0,4,0,0,0,53,1,0,0,0.2,0.2,0.3,5,0,33,38,86.8,2,39,7,4,2,Brighton & Hove Albion
Carlos Baleba,20.0,cm CMR,LB,20-116,3,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,2,0,0,Brighton & Hove Albion
Billy Gilmour,11.0,sct SCO,DM,22-322,90,0,0,0,0,1,0,1,0,96,2,1,1,0.0,0.0,0.0,6,0,78,90,86.7,13,70,2,0,0,Brighton & Hove Albion
Pascal Groß,13.0,de GER,DM,32-318,90,0,0,0,0,0,0,0,0,119,3,0,1,0.0,0.0,0.1,3,0,100,113,88.5,5,76,1,0,0,Brighton & Hove Albion
Valentín Barco,19.0,ar ARG,"LB,LW",19-280,90,0,0,0,0,1,0,1,0,67,2,1,0,0.0,0.0,0.1,1,0,45,56,80.4,3,46,2,2,0,Brighton & Hove Albion
Igor,3.0,br BRA,CB,26-081,73,0,0,0,0,1,0,0,0,60,2,0,0,0.1,0.1,0.0,0,0,50,54,92.6,2,33,0,1,1,Brighton & Hove Albion
Adam Webster,4.0,eng ENG,CB,29-115,17,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,8,8,100.0,0,4,0,0,0,Brighton & Hove Albion
Lewis Dunk,5.0,eng ENG,CB,32-159,90,0,0,0,0,0,0,0,0,111,2,2,4,0.0,0.0,0.0,1,0,87,95,91.6,4,74,1,0,0,Brighton & Hove Albion
Odeluga Offiah,42.0,eng ENG,RB,21-185,73,0,0,0,0,0,0,0,0,59,1,1,0,0.0,0.0,0.0,4,0,43,53,81.1,2,43,4,4,2,Brighton & Hove Albion
Joël Veltman,34.0,nl NED,RB,32-104,17,0,0,0,0,0,0,0,0,17,3,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,4,0,0,0,Brighton & Hove Albion
Bart Verbruggen,1.0,nl NED,GK,21-254,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,41,43,95.3,0,43,0,0,0,Brighton & Hove Albion
16 Players,,,,,990,0,0,0,0,13,1,2,0,779,26,5,13,0.9,0.9,0.7,25,0,571,660,86.5,43,531,29,18,9,Brighton & Hove Albion
