Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Shane Long,7.0,ie IRL,FW,29-100,90,1,0,0,0,2,1,0,0,0,2,1,1,2,0,0,,,Southampton
Dušan Tadić,11.0,rs SRB,AM,27-163,86,0,1,0,0,0,0,1,0,2,0,0,4,1,0,0,,,Southampton
Jay Rodriguez,9.0,eng ENG,"FW,MF",26-277,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Southampton
Sadio Mané,10.0,sn SEN,AM,24-021,90,3,0,0,0,5,4,0,0,2,3,1,1,4,5,0,,,Southampton
Steven Davis,8.0,nir NIR,AM,31-121,72,0,0,0,0,1,0,0,0,0,1,0,8,1,1,0,,,Southampton
James Ward-Prowse,16.0,eng ENG,MF,21-182,18,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,,,Southampton
Jordy Clasie,4.0,nl NED,DM,24-309,58,0,0,0,0,1,0,1,0,1,0,0,0,2,2,0,,,Southampton
Oriol Romeu,14.0,es ESP,MF,24-220,32,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,Southampton
Victor Wanyama,12.0,ke KEN,DM,24-311,90,0,0,0,0,0,0,0,0,1,1,0,0,4,4,0,,,Southampton
Ryan Bertrand,21.0,eng ENG,LB,26-270,90,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,,,Southampton
Virgil van Dijk,17.0,nl NED,CB,24-298,90,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,,,Southampton
José Fonte,6.0,pt POR,CB,32-131,90,0,1,0,0,2,0,0,0,0,0,0,0,2,2,0,,,Southampton
Cuco Martina,15.0,cw CUW,RB,26-219,90,0,0,0,0,0,0,0,0,5,0,1,1,3,4,0,,,Southampton
Fraser Forster,1.0,eng ENG,GK,28-045,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Southampton
14 Players,,,,,990,4,2,0,0,14,7,2,0,12,8,3,19,23,25,0,,,Southampton
Wilfried Bony,14.0,ci CIV,FW,27-143,90,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,,,Manchester City
Kelechi Iheanacho,72.0,ng NGA,FW,19-211,90,2,0,0,0,3,3,0,0,1,0,0,1,2,0,0,,,Manchester City
Raheem Sterling,7.0,eng ENG,LM,21-145,90,0,0,0,0,1,1,0,0,1,4,0,4,3,0,0,,,Manchester City
Fabian Delph,18.0,eng ENG,CM,26-162,63,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,,,Manchester City
Jesús Navas,15.0,es ESP,"DF,FW",30-162,27,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,,,Manchester City
Fernandinho,25.0,br BRA,CM,30-363,59,0,0,0,0,0,0,1,0,1,1,0,0,3,3,0,,,Manchester City
Martín Demichelis,26.0,ar ARG,"DF,MF",35-133,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Manchester City
Samir Nasri,8.0,fr FRA,RM,28-310,90,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,Manchester City
Aleksandar Kolarov,11.0,rs SRB,LB,30-173,90,0,0,0,0,0,0,0,0,1,2,0,6,1,1,0,,,Manchester City
Eliaquim Mangala,20.0,fr FRA,CB,25-078,90,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,,,Manchester City
Nicolás Otamendi,30.0,ar ARG,CB,28-079,90,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,,,Manchester City
Pablo Zabaleta,5.0,ar ARG,RB,31-106,90,0,0,0,0,0,0,0,0,1,1,0,1,4,4,0,,,Manchester City
Joe Hart,1.0,eng ENG,GK,29-012,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Manchester City
13 Players,,,,,990,2,1,0,0,6,5,1,0,9,12,0,14,19,20,0,,,Manchester City
